RL,team,PJ,PG,PE,PP,GF,GC,DG,Pts,Pts/PJ,xG,xGA,xGD,xGD/90,Últimos 5,Asistencia,Máximo Goleador del Equipo,Portero,Notas,league,season
1,Huracán,10,5,5,0,11,4,7,20,2.0,10.9,8.3,2.6,0.26,PE PE PG PE PE,,Ignacio Pussetto - 5,Hernán Galíndez,,Liga Profesional Argentina ,2024
2,Unión,10,5,4,1,10,5,5,19,1.9,10.8,7.6,3.2,0.32,PE PP PG PE PE,,"Adrián Balboa, Javier Morales... - 2",Thiago Cardozo,,Liga Profesional Argentina ,2024
3,Atlé Tucumán,10,5,4,1,11,7,4,19,1.9,13.3,9.1,4.2,0.42,PE PG PG PG PG,,Renzo Tesuri - 3,Tomás Durso,,Liga Profesional Argentina ,2024
4,Vélez Sarsfield,10,5,3,2,16,8,8,18,1.8,11.4,11.1,0.4,0.04,PG PG PG PG PE,,Claudio Aquino - 6,Tomás Marchiori,,Liga Profesional Argentina ,2024
5,Instituto,10,5,3,2,13,7,6,18,1.8,9.2,8.0,1.2,0.12,PG PP PE PE PG,,Santiago Rodriguez - 5,Manuel Roffo,,Liga Profesional Argentina ,2024
6,Racing Club,10,5,2,3,17,9,8,17,1.7,14.4,8.0,6.4,0.64,PG PP PG PE PP,,Roger Martínez - 3,Gabriel Arias,,Liga Profesional Argentina ,2024
7,Talleres,10,4,5,1,15,11,4,17,1.7,10.6,8.3,2.2,0.22,PP PE PE PE PE,,Bruno Barticciotto - 5,Guido Herrera,,Liga Profesional Argentina ,2024
8,Belgrano,10,4,4,2,14,14,0,16,1.6,10.8,11.3,-0.4,-0.04,PG PP PG PE PE,,Franco Jara - 5,"Nahuel Losada, Ignacio Chicco",,Liga Profesional Argentina ,2024
9,River Plate,10,4,3,3,14,9,5,15,1.5,16.4,9.4,7.0,0.7,PE PP PG PE PE,,Miguel Borja - 6,Franco Armani,,Liga Profesional Argentina ,2024
10,Estudiantes,10,4,3,3,13,9,4,15,1.5,11.8,10.0,1.8,0.18,PE PE PG PG PP,,Guido Carrillo - 4,Matías Mansilla,,Liga Profesional Argentina ,2024
11,Rosario Central,10,4,3,3,13,10,3,15,1.5,10.7,9.3,1.4,0.14,PG PP PP PG PG,,Agustín Módica - 3,Jorge Broun,,Liga Profesional Argentina ,2024
12,Independiente Rivadavia,10,4,3,3,7,5,2,15,1.5,8.4,8.4,0.0,0.0,PG PE PG PP PE,,"Gastón Gil Romero, Sebastián Villa... - 1","Gonzalo Marinelli, Ezequiel Centurión",,Liga Profesional Argentina ,2024
13,Deportivo Riestra,10,5,0,5,11,10,1,15,1.5,11.6,10.6,1.0,0.1,PP PG PP PG PG,,Jonathan Herrera - 4,Ignacio Arce,,Liga Profesional Argentina ,2024
14,Lanús,10,4,3,3,15,16,-1,15,1.5,9.4,13.5,-4.2,-0.42,PE PG PP PG PP,,Walter Bou - 4,Alan Aguerre,,Liga Profesional Argentina ,2024
15,Boca Juniors,10,3,5,2,12,8,4,14,1.4,12.0,13.2,-1.1,-0.11,PE PE PG PE PE,,Miguel Merentiel - 4,Sergio Romero,,Liga Profesional Argentina ,2024
16,Gimnasia–LP,10,4,1,5,12,12,0,13,1.3,12.5,12.3,0.1,0.01,PP PP PP PP PG,,"Rodrigo Castillo, Matías Abaldo - 3",Nelson Insfrán,,Liga Profesional Argentina ,2024
17,Arg Juniors,10,4,1,5,8,12,-4,13,1.3,7.8,7.0,0.8,0.08,PP PP PG PP PE,,Alan Lescano - 2,Diego Matías Rodríguez,,Liga Profesional Argentina ,2024
18,Sarmiento,10,3,3,4,8,9,-1,12,1.2,8.4,10.8,-2.5,-0.25,PP PG PP PE PE,,Manuel García - 2,Lucas Acosta,,Liga Profesional Argentina ,2024
19,Godoy Cruz,9,3,3,3,7,8,-1,12,1.33,11.0,8.8,2.2,0.25,PP PG PP PG PG,,Vicente Poggi - 3,Franco Petroli,,Liga Profesional Argentina ,2024
20,Independiente,10,2,5,3,7,9,-2,11,1.1,6.8,9.7,-2.9,-0.29,PP PE PP PE PG,,Gabriel Ávalos - 3,Rodrigo Rey,,Liga Profesional Argentina ,2024
21,Platense,10,3,2,5,8,11,-3,11,1.1,8.9,8.6,0.3,0.03,PG PP PG PP PP,,Mateo Pellegrino - 4,Juan Cozzani,,Liga Profesional Argentina ,2024
22,Newell's OB,10,3,2,5,6,11,-5,11,1.1,9.8,10.2,-0.3,-0.03,PG PE PE PP PP,,"Juan Ignacio Ramírez, Jerónimo Cacciabue... - 1","Lucas Hoyos, Ramiro Macagno",,Liga Profesional Argentina ,2024
23,Banfield,10,2,4,4,9,14,-5,10,1.0,13.0,15.0,-2.0,-0.2,PE PE PP PG PE,,Milton Giménez - 4,Facundo Sanguinetti,,Liga Profesional Argentina ,2024
24,Tigre,10,2,3,5,10,17,-7,9,0.9,9.1,13.3,-4.2,-0.42,PG PE PG PP PP,,Gonzalo Maroni - 2,Felipe Zenobio,,Liga Profesional Argentina ,2024
25,San Lorenzo,9,1,4,4,5,8,-3,7,0.78,8.2,6.8,1.4,0.15,PE PG PE PE PP,,"Sebastián Blanco, Gastón Campi... - 1",Facundo Altamirano,,Liga Profesional Argentina ,2024
26,Barracas Central,10,1,4,5,5,12,-7,7,0.7,7.5,17.1,-9.5,-0.95,PP PE PP PE PE,,"Jhonatan Candia, Alexis Dominguez... - 1",Sebastián Moyano,,Liga Profesional Argentina ,2024
27,Defensa y Just,10,0,5,5,7,17,-10,5,0.5,9.9,14.5,-4.6,-0.46,PE PE PP PP PP,,Aaron Nicolás Molinas - 3,Cristopher Fiermarin,,Liga Profesional Argentina ,2024
28,Cen. Córdoba–SdE,10,1,1,8,9,21,-12,4,0.4,9.3,13.9,-4.6,-0.46,PP PE PP PP PG,,Tomás Molina - 3,Luis Ingolotti,,Liga Profesional Argentina ,2024
