RL,team,PJ,PG,PE,PP,GF,GC,DG,Pts,Pts/PJ,xG,xGA,xGD,xGD/90,Últimos 5,Asistencia,Máximo Goleador del Equipo,Portero,Notas,league,season,country
1,Huracán,11,6,5,0,12,4,8,23,2.09,11.5,8.9,2.7,0.24,PE PG PE PE PG,,Ignacio Pussetto - 5,Hernán Galíndez,,Liga Profesional,2024,Argentina
2,Unión,11,6,4,1,13,5,8,22,2.0,12.4,8.2,4.2,0.38,PP PG PE PE PG,,Adrián Balboa - 3,Thiago Cardozo,,Liga Profesional,2024,Argentina
3,Atlé Tucumán,11,6,4,1,13,7,6,22,2.0,14.9,9.4,5.4,0.49,PG PG PG PG PG,,"Renzo Tesuri, Mateo Coronel... - 3",Tomás Durso,,Liga Profesional,2024,Argentina
4,Vélez Sarsfield,11,6,3,2,17,8,9,21,1.91,12.8,11.1,1.7,0.16,PG PG PG PE PG,,Claudio Aquino - 6,Tomás Marchiori,,Liga Profesional,2024,Argentina
5,Racing Club,11,6,2,3,18,9,9,20,1.82,15.4,9.3,6.2,0.56,PP PG PE PP PG,,Roger Martínez - 4,Gabriel Arias,,Liga Profesional,2024,Argentina
6,Talleres,11,5,5,1,17,12,5,20,1.82,11.6,8.4,3.2,0.29,PE PE PE PE PG,,Bruno Barticciotto - 6,Guido Herrera,,Liga Profesional,2024,Argentina
7,Instituto,11,5,3,3,13,8,5,18,1.64,9.8,9.6,0.2,0.02,PP PE PE PG PP,,Santiago Rodriguez - 5,Manuel Roffo,,Liga Profesional,2024,Argentina
8,Boca Juniors,11,4,5,2,15,10,5,17,1.55,12.6,15.2,-2.5,-0.23,PE PG PE PE PG,,Miguel Merentiel - 5,Sergio Romero,,Liga Profesional,2024,Argentina
9,River Plate,11,4,4,3,15,10,5,16,1.45,16.9,10.5,6.4,0.58,PP PG PE PE PE,,Miguel Borja - 6,Franco Armani,,Liga Profesional,2024,Argentina
10,Lanús,11,4,4,3,16,17,-1,16,1.45,10.4,14.6,-4.1,-0.38,PG PP PG PP PE,,Walter Bou - 4,Alan Aguerre,,Liga Profesional,2024,Argentina
11,Belgrano,11,4,4,3,14,15,-1,16,1.45,11.4,12.0,-0.6,-0.05,PP PG PE PE PP,,Franco Jara - 5,"Nahuel Losada, Ignacio Chicco",,Liga Profesional,2024,Argentina
12,Estudiantes,11,4,3,4,13,11,2,15,1.36,12.4,11.3,1.1,0.1,PE PG PG PP PP,,Guido Carrillo - 4,Matías Mansilla,,Liga Profesional,2024,Argentina
13,Rosario Central,11,4,3,4,13,11,2,15,1.36,10.9,10.4,0.5,0.04,PP PP PG PG PP,,Agustín Módica - 3,Jorge Broun,,Liga Profesional,2024,Argentina
14,Godoy Cruz,10,4,3,3,11,9,2,15,1.5,13.0,10.0,3.0,0.3,PG PP PG PG PG,,"Vicente Poggi, Salomón Rodríguez - 3",Franco Petroli,,Liga Profesional,2024,Argentina
15,Independiente Rivadavia,11,4,3,4,8,7,1,15,1.36,8.5,9.1,-0.5,-0.05,PE PG PP PE PP,,"Gastón Gil Romero, Sebastián Villa... - 1",Ezequiel Centurión,,Liga Profesional,2024,Argentina
16,Deportivo Riestra,11,5,0,6,12,14,-2,15,1.36,12.9,12.1,0.8,0.08,PG PP PG PG PP,,Jonathan Herrera - 4,Ignacio Arce,,Liga Profesional,2024,Argentina
17,Gimnasia–LP,11,4,2,5,13,13,0,14,1.27,13.6,12.8,0.8,0.08,PP PP PP PG PE,,Rodrigo Castillo - 4,Nelson Insfrán,,Liga Profesional,2024,Argentina
18,Independiente,11,3,5,3,8,9,-1,14,1.27,7.9,10.0,-2.1,-0.19,PE PP PE PG PG,,Gabriel Ávalos - 3,Rodrigo Rey,,Liga Profesional,2024,Argentina
19,Sarmiento,11,3,4,4,8,9,-1,13,1.18,9.1,12.4,-3.3,-0.3,PG PP PE PE PE,,Manuel García - 2,Lucas Acosta,,Liga Profesional,2024,Argentina
20,Arg Juniors,11,4,1,6,8,15,-7,13,1.18,8.4,8.7,-0.3,-0.03,PP PG PP PE PP,,Alan Lescano - 2,Diego Matías Rodríguez,,Liga Profesional,2024,Argentina
21,Platense,11,3,3,5,8,11,-3,12,1.09,10.5,8.8,1.8,0.16,PP PG PP PP PE,,Mateo Pellegrino - 4,Juan Cozzani,,Liga Profesional,2024,Argentina
22,Newell's OB,11,3,2,6,6,12,-6,11,1.0,11.1,11.2,-0.1,-0.01,PE PE PP PP PP,,"Juan Ignacio Ramírez, Jerónimo Cacciabue... - 1",Lucas Hoyos,,Liga Profesional,2024,Argentina
23,Banfield,11,2,4,5,9,15,-6,10,0.91,12.8,16.6,-3.8,-0.34,PE PP PG PE PP,,Milton Giménez - 4,Facundo Sanguinetti,,Liga Profesional,2024,Argentina
24,Tigre,11,2,4,5,10,17,-7,10,0.91,10.5,14.4,-3.9,-0.35,PE PG PP PP PE,,Gonzalo Maroni - 2,Felipe Zenobio,,Liga Profesional,2024,Argentina
25,Barracas Central,11,1,5,5,5,12,-7,8,0.73,7.7,18.3,-10.5,-0.96,PE PP PE PE PE,,"Jhonatan Candia, Alexis Dominguez... - 1",Sebastián Moyano,,Liga Profesional,2024,Argentina
26,Defensa y Just,11,1,5,5,8,17,-9,8,0.73,11.6,15.1,-3.5,-0.32,PE PP PP PP PG,,Aaron Nicolás Molinas - 3,Cristopher Fiermarin,,Liga Profesional,2024,Argentina
27,San Lorenzo,10,1,4,5,7,11,-4,7,0.7,10.2,7.9,2.2,0.22,PG PE PE PP PP,,"Sebastián Blanco, Gastón Campi... - 1",Facundo Altamirano,,Liga Profesional,2024,Argentina
28,Cen. Córdoba–SdE,11,1,2,8,10,22,-12,5,0.45,10.5,15.2,-4.8,-0.43,PE PP PP PG PE,,Tomás Molina - 3,Luis Ingolotti,,Liga Profesional,2024,Argentina
